"","X","Justification_overall_timing","agreement_overall_timing","sexual_timing_justification","non_sexual_timing_justification","agreement_sexual_timing","agreement_non_sexual_timing"
"1",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.1",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.2",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.3",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.4",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.5",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.6",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.7",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.8",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"1.9",1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
"2",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.1",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.2",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.3",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.4",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.5",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.6",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.7",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.8",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"2.9",2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
"3",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.1",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.2",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.3",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.4",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.5",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.6",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.7",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.8",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"3.9",3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
"4",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.1",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.2",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.3",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.4",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.5",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.6",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.7",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.8",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"4.9",4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
"5",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.1",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.2",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.3",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.4",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.5",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.6",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.7",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.8",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"5.9",5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
"6",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.1",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.2",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.3",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.4",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.5",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.6",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.7",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.8",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"6.9",6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
"7",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.1",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.2",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.3",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.4",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.5",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.6",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.7",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.8",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"7.9",7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
"8",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.1",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.2",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.3",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.4",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.5",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.6",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.7",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.8",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"8.9",8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
"9",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.1",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.2",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.3",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.4",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.5",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.6",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.7",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.8",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"9.9",9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
"10",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.1",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.2",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.3",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.4",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.5",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.6",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.7",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.8",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"10.9",10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
"11",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.1",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.2",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.3",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.4",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.5",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.6",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.7",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.8",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"11.9",11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
"12",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.1",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.2",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.3",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.4",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.5",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.6",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.7",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.8",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"12.9",12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
"13",13,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
"13.1",13,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
"13.2",13,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
"13.3",13,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
"13.4",13,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
"13.5",13,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
"13.6",13,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
"13.7",13,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
"13.8",13,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
"13.9",13,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
"14",14,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
"14.1",14,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
"14.2",14,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
"14.3",14,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
"14.4",14,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
"14.5",14,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
"14.6",14,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
"14.7",14,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
"14.8",14,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
"14.9",14,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
"15",15,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
"15.1",15,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
"15.2",15,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
"15.3",15,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
"15.4",15,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
"15.5",15,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
"15.6",15,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
"15.7",15,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
"15.8",15,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
"15.9",15,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
"16",16,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
"16.1",16,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
"16.2",16,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
"16.3",16,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
"16.4",16,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
"16.5",16,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
"16.6",16,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
"16.7",16,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
"16.8",16,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
"16.9",16,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
"17",17,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
"17.1",17,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
"17.2",17,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
"17.3",17,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
"17.4",17,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
"17.5",17,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
"17.6",17,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
"17.7",17,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
"17.8",17,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
"17.9",17,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
"18",18,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
"18.1",18,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
"18.2",18,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
"18.3",18,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
"18.4",18,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
"18.5",18,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
"18.6",18,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
"18.7",18,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
"18.8",18,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
"18.9",18,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
"19",19,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
"19.1",19,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
"19.2",19,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
"19.3",19,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
"19.4",19,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
"19.5",19,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
"19.6",19,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
"19.7",19,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
"19.8",19,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
"19.9",19,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
"20",20,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
"20.1",20,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
"20.2",20,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
"20.3",20,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
"20.4",20,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
"20.5",20,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
"20.6",20,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
"20.7",20,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
"20.8",20,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
"20.9",20,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
"21",21,14.8684,2.0033,15.589,14.1478,2.2726,1.734
"21.1",21,14.8684,2.0033,15.589,14.1478,2.2726,1.734
"21.2",21,14.8684,2.0033,15.589,14.1478,2.2726,1.734
"21.3",21,14.8684,2.0033,15.589,14.1478,2.2726,1.734
"21.4",21,14.8684,2.0033,15.589,14.1478,2.2726,1.734
"21.5",21,14.8684,2.0033,15.589,14.1478,2.2726,1.734
"21.6",21,14.8684,2.0033,15.589,14.1478,2.2726,1.734
"21.7",21,14.8684,2.0033,15.589,14.1478,2.2726,1.734
"21.8",21,14.8684,2.0033,15.589,14.1478,2.2726,1.734
"21.9",21,14.8684,2.0033,15.589,14.1478,2.2726,1.734
"22",22,21.1786,2.6389,27.1992,15.158,3.2652,2.0126
"22.1",22,21.1786,2.6389,27.1992,15.158,3.2652,2.0126
"22.2",22,21.1786,2.6389,27.1992,15.158,3.2652,2.0126
"22.3",22,21.1786,2.6389,27.1992,15.158,3.2652,2.0126
"22.4",22,21.1786,2.6389,27.1992,15.158,3.2652,2.0126
"22.5",22,21.1786,2.6389,27.1992,15.158,3.2652,2.0126
"22.6",22,21.1786,2.6389,27.1992,15.158,3.2652,2.0126
"22.7",22,21.1786,2.6389,27.1992,15.158,3.2652,2.0126
"22.8",22,21.1786,2.6389,27.1992,15.158,3.2652,2.0126
"22.9",22,21.1786,2.6389,27.1992,15.158,3.2652,2.0126
"23",23,23.5476,1.6146,26.1852,20.91,1.7634,1.4658
"23.1",23,23.5476,1.6146,26.1852,20.91,1.7634,1.4658
"23.2",23,23.5476,1.6146,26.1852,20.91,1.7634,1.4658
"23.3",23,23.5476,1.6146,26.1852,20.91,1.7634,1.4658
"23.4",23,23.5476,1.6146,26.1852,20.91,1.7634,1.4658
"23.5",23,23.5476,1.6146,26.1852,20.91,1.7634,1.4658
"23.6",23,23.5476,1.6146,26.1852,20.91,1.7634,1.4658
"23.7",23,23.5476,1.6146,26.1852,20.91,1.7634,1.4658
"23.8",23,23.5476,1.6146,26.1852,20.91,1.7634,1.4658
"23.9",23,23.5476,1.6146,26.1852,20.91,1.7634,1.4658
"24",24,20.3118,2.7988,20.666,19.9576,3.31,2.2876
"24.1",24,20.3118,2.7988,20.666,19.9576,3.31,2.2876
"24.2",24,20.3118,2.7988,20.666,19.9576,3.31,2.2876
"24.3",24,20.3118,2.7988,20.666,19.9576,3.31,2.2876
"24.4",24,20.3118,2.7988,20.666,19.9576,3.31,2.2876
"24.5",24,20.3118,2.7988,20.666,19.9576,3.31,2.2876
"24.6",24,20.3118,2.7988,20.666,19.9576,3.31,2.2876
"24.7",24,20.3118,2.7988,20.666,19.9576,3.31,2.2876
"24.8",24,20.3118,2.7988,20.666,19.9576,3.31,2.2876
"24.9",24,20.3118,2.7988,20.666,19.9576,3.31,2.2876
"25",25,24.6384,1.6542,26.5664,22.7104,1.785,1.5234
"25.1",25,24.6384,1.6542,26.5664,22.7104,1.785,1.5234
"25.2",25,24.6384,1.6542,26.5664,22.7104,1.785,1.5234
"25.3",25,24.6384,1.6542,26.5664,22.7104,1.785,1.5234
"25.4",25,24.6384,1.6542,26.5664,22.7104,1.785,1.5234
"25.5",25,24.6384,1.6542,26.5664,22.7104,1.785,1.5234
"25.6",25,24.6384,1.6542,26.5664,22.7104,1.785,1.5234
"25.7",25,24.6384,1.6542,26.5664,22.7104,1.785,1.5234
"25.8",25,24.6384,1.6542,26.5664,22.7104,1.785,1.5234
"25.9",25,24.6384,1.6542,26.5664,22.7104,1.785,1.5234
"26",26,22.24,1.75,23.1954,21.2846,1.9272,1.5728
"26.1",26,22.24,1.75,23.1954,21.2846,1.9272,1.5728
"26.2",26,22.24,1.75,23.1954,21.2846,1.9272,1.5728
"26.3",26,22.24,1.75,23.1954,21.2846,1.9272,1.5728
"26.4",26,22.24,1.75,23.1954,21.2846,1.9272,1.5728
"26.5",26,22.24,1.75,23.1954,21.2846,1.9272,1.5728
"26.6",26,22.24,1.75,23.1954,21.2846,1.9272,1.5728
"26.7",26,22.24,1.75,23.1954,21.2846,1.9272,1.5728
"26.8",26,22.24,1.75,23.1954,21.2846,1.9272,1.5728
"26.9",26,22.24,1.75,23.1954,21.2846,1.9272,1.5728
"27",27,24.8405,2.2131,31.7176,17.9634,2.389,2.0372
"27.1",27,24.8405,2.2131,31.7176,17.9634,2.389,2.0372
"27.2",27,24.8405,2.2131,31.7176,17.9634,2.389,2.0372
"27.3",27,24.8405,2.2131,31.7176,17.9634,2.389,2.0372
"27.4",27,24.8405,2.2131,31.7176,17.9634,2.389,2.0372
"27.5",27,24.8405,2.2131,31.7176,17.9634,2.389,2.0372
"27.6",27,24.8405,2.2131,31.7176,17.9634,2.389,2.0372
"27.7",27,24.8405,2.2131,31.7176,17.9634,2.389,2.0372
"27.8",27,24.8405,2.2131,31.7176,17.9634,2.389,2.0372
"27.9",27,24.8405,2.2131,31.7176,17.9634,2.389,2.0372
"28",28,12.2395,1.4874,11.1704,13.3086,2.065,0.9098
"28.1",28,12.2395,1.4874,11.1704,13.3086,2.065,0.9098
"28.2",28,12.2395,1.4874,11.1704,13.3086,2.065,0.9098
"28.3",28,12.2395,1.4874,11.1704,13.3086,2.065,0.9098
"28.4",28,12.2395,1.4874,11.1704,13.3086,2.065,0.9098
"28.5",28,12.2395,1.4874,11.1704,13.3086,2.065,0.9098
"28.6",28,12.2395,1.4874,11.1704,13.3086,2.065,0.9098
"28.7",28,12.2395,1.4874,11.1704,13.3086,2.065,0.9098
"28.8",28,12.2395,1.4874,11.1704,13.3086,2.065,0.9098
"28.9",28,12.2395,1.4874,11.1704,13.3086,2.065,0.9098
"29",29,25.5765,1.5375,20.575,30.578,1.9974,1.0776
"29.1",29,25.5765,1.5375,20.575,30.578,1.9974,1.0776
"29.2",29,25.5765,1.5375,20.575,30.578,1.9974,1.0776
"29.3",29,25.5765,1.5375,20.575,30.578,1.9974,1.0776
"29.4",29,25.5765,1.5375,20.575,30.578,1.9974,1.0776
"29.5",29,25.5765,1.5375,20.575,30.578,1.9974,1.0776
"29.6",29,25.5765,1.5375,20.575,30.578,1.9974,1.0776
"29.7",29,25.5765,1.5375,20.575,30.578,1.9974,1.0776
