Subject,Gender,Age,Race,Eth.Ori,Education,Spite,SSES,SRPS,SJS,Vignettes,Content,Justification,Realism,Justification_overall_timing,agreement_overall_timing,sexual_timing_justification,non_sexual_timing_justification,agreement_sexual_timing,agreement_non_sexual_timing
7,2,19,1,3,3,34,32,3.255244755,4,2,Sex,4,4,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
7,2,19,1,3,3,34,32,3.255244755,4,3,No_Sex,1,4,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
7,2,19,1,3,3,34,32,3.255244755,4,4,Sex,2,4,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
7,2,19,1,3,3,34,32,3.255244755,4,5,No_Sex,2,4,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
7,2,19,1,3,3,34,32,3.255244755,4,6,No_Sex,4,4,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
7,2,19,1,3,3,34,32,3.255244755,4,7,Sex,1,3,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
7,2,19,1,3,3,34,32,3.255244755,4,8,No_Sex,2,4,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
7,2,19,1,3,3,34,32,3.255244755,4,9,No_Sex,3,4,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
7,2,19,1,3,3,34,32,3.255244755,4,10,Sex,4,4,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
8,1,23,1,2,3,37,27,3.013986014,9,1,Sex,3,4,1.2799,0.9195,1.9682,0.5916,1.171,0.668
8,1,23,1,2,3,37,27,3.013986014,9,2,Sex,1,2,1.2799,0.9195,1.9682,0.5916,1.171,0.668
8,1,23,1,2,3,37,27,3.013986014,9,3,No_Sex,2,3,1.2799,0.9195,1.9682,0.5916,1.171,0.668
8,1,23,1,2,3,37,27,3.013986014,9,4,Sex,1,1,1.2799,0.9195,1.9682,0.5916,1.171,0.668
8,1,23,1,2,3,37,27,3.013986014,9,5,No_Sex,2,4,1.2799,0.9195,1.9682,0.5916,1.171,0.668
8,1,23,1,2,3,37,27,3.013986014,9,6,No_Sex,3,2,1.2799,0.9195,1.9682,0.5916,1.171,0.668
8,1,23,1,2,3,37,27,3.013986014,9,7,Sex,1,1,1.2799,0.9195,1.9682,0.5916,1.171,0.668
8,1,23,1,2,3,37,27,3.013986014,9,8,No_Sex,1,2,1.2799,0.9195,1.9682,0.5916,1.171,0.668
8,1,23,1,2,3,37,27,3.013986014,9,9,No_Sex,3,1,1.2799,0.9195,1.9682,0.5916,1.171,0.668
8,1,23,1,2,3,37,27,3.013986014,9,10,Sex,4,4,1.2799,0.9195,1.9682,0.5916,1.171,0.668
9,2,28,1,2,2,46,27,3.391608392,8,1,Sex,5,1,11.994,1.3317,8.8084,15.1796,1.5804,1.083
9,2,28,1,2,2,46,27,3.391608392,8,2,Sex,1,3,11.994,1.3317,8.8084,15.1796,1.5804,1.083
9,2,28,1,2,2,46,27,3.391608392,8,3,No_Sex,3,3,11.994,1.3317,8.8084,15.1796,1.5804,1.083
9,2,28,1,2,2,46,27,3.391608392,8,4,Sex,1,1,11.994,1.3317,8.8084,15.1796,1.5804,1.083
9,2,28,1,2,2,46,27,3.391608392,8,5,No_Sex,3,3,11.994,1.3317,8.8084,15.1796,1.5804,1.083
9,2,28,1,2,2,46,27,3.391608392,8,6,No_Sex,4,4,11.994,1.3317,8.8084,15.1796,1.5804,1.083
9,2,28,1,2,2,46,27,3.391608392,8,7,Sex,1,1,11.994,1.3317,8.8084,15.1796,1.5804,1.083
9,2,28,1,2,2,46,27,3.391608392,8,8,No_Sex,1,5,11.994,1.3317,8.8084,15.1796,1.5804,1.083
