,Participants,Timing...First.Click.55,Timing...First.Click.56,Timing...First.Click.57,Timing...First.Click.58,Timing...First.Click.59,Timing...First.Click.60,Timing...First.Click.61,Timing...First.Click.62,Timing...First.Click.63,Timing...First.Click.64,Timing...First.Click.65,Timing...First.Click.66,Timing...First.Click.67,Timing...First.Click.68,Timing...First.Click.69,Timing...First.Click.70,Timing...First.Click.71,Timing...First.Click.72,Timing...First.Click.73,Timing...First.Click.74,Timing...First.Click.75,Justification_overall_timing,agreement_overall_timing,sexual_timing_justification,non_sexual_timing_justification,agreement_sexual_timing,agreement_non_sexual_timing
52,52,6.601,88.282,2.965,41.239,2.5,23.499,7.059,29.431,2.858,18.786,2.176,41.444,0.837,56.698,6.25,56.085,0.847,29.895,6.074,30.569,2.15,41.5928,3.3716,49.2438,33.9418,3.3446,3.3986
53,53,80.194,15.1,2.216,19.38,1.72,15.173,2.27,11.767,1.113,15.782,0.62,8.1,0.944,21.094,0.553,3.238,0.505,11.265,1.268,2.158,0.426,12.3057,1.1635,13.8998,10.7116,1.2056,1.1214
54,54,5.416,39.487,3.783,2.134,2.199,2.241,0.995,1.709,2.073,1.829,1.376,1.255,0.747,1.61,1.17,1.308,2.124,1.539,1.99,2.171,0.766,5.5283,1.7223,9.4222,1.6344,1.9982,1.4464
55,55,10.145,75.296,4.702,57.385,1.923,26.043,1.081,22.441,0.982,16.277,0.728,31.288,8.212,51.967,2.191,57.949,0.764,38.58,1.164,29.767,1.791,40.6993,2.3538,47.3712,34.0274,2.3178,2.3898
56,56,3.545,65.028,5.279,49.529,2.149,20.774,1.92,13.446,1.471,6.958,4.72,20.001,0.973,1.096,1.693,1.474,1.649,1.864,0.903,16.498,1.66,19.6668,2.2417,29.1194,10.2142,2.4504,2.033
57,57,9.328,35.543,3.393,23.318,2.884,28.249,2.314,18.076,2.434,24.62,2.918,36.401,2.515,29.224,3.549,142.157,1.933,16.195,1.867,23.535,2.879,37.7318,2.6686,25.9392,49.5244,3.0278,2.3094
58,58,1.079,134.928,5.721,17.23,2.42,4.946,2.011,10.041,1.188,28.234,0.829,5.956,0.71,19.786,0.705,55.816,2.735,54.39,8.459,10.989,2.263,34.2316,2.7041,38.5948,29.8684,2.4594,2.9488
59,59,3.62,25.678,4.695,45.643,1.79,14.478,1.105,9.484,1.286,12.726,2.382,154.051,0.736,1.439,0.748,26.776,0.699,17.678,0.641,27.174,0.544,33.5127,1.4626,21.8836,45.1418,1.8126,1.1126
60,60,6.723,16.616,4.586,10.108,5.219,35.994,3.713,21.769,2.376,19.05,2.52,21.18,0.986,26.406,1.121,25.568,1.2,21.796,0.653,21.855,3.762,22.0342,2.6136,19.3508,24.7176,3.4128,1.8144
61,61,6.726,111.633,5.371,39.257,2.531,65.816,0.98,18.254,1.498,84.651,1.47,23.993,0.496,13.842,6.245,66.66,0.842,35.855,1.394,15.459,2.665,47.542,2.3492,39.689,55.395,3.662,1.0364
62,62,3.116,9.764,2.51,24.637,2.124,50.156,1.575,8.203,1.889,6.007,2.213,21.011,1.43,13.602,14.935,8.481,0.857,8.308,1.543,14.989,0.567,16.5158,2.9643,14.239,18.7926,4.405,1.5236
63,63,5.329,23.478,3.314,15.34,1.133,20.38,2.742,24.283,1.166,40.428,1.748,9.547,1.003,22.167,2.619,22.184,0.975,13.567,1.298,51.018,0.841,24.2392,1.6839,27.2572,21.2212,1.8146,1.5532
64,64,7.361,99.601,4.773,33.987,0.956,5.998,1.763,42.55,1.231,3.246,1.655,17.033,3.123,25.624,1.524,22.764,1.46,43.576,1.923,20.669,1.163,31.5048,1.9571,44.4862,18.5234,1.9294,1.9848
65,65,4.338,4.288,2.135,30.186,1.45,12.588,25.021,27.352,2.051,9.626,2.058,12.851,1.717,16.853,1.412,3.7,5.819,10.609,1.383,6.276,0.596,13.4329,4.3642,16.991,9.8748,1.5288,7.1996
66,66,4.115,31.511,12.964,24.233,3.141,1.406,6.018,0.942,0.803,0.627,1.504,0.621,0.728,0.868,1.375,4.005,0.902,1.063,1.881,0.783,2.301,6.6059,3.1617,11.6674,1.5444,4.1168,2.2066
