"","X","Contact","Age","Gender","Ethnicity","Ethnic_Origin","Education","DOSPERT_Likelihood_z","DOSPERT_Perception_z","DOSPERT_Benefit_z","UMS_Intimacy_Questions_z","UMS_Affiliation_Questions_z","UMS_Questions_z","dominance_z","prestige_z","leadership_z","PNI_z","DOSPERT_Ethical_Likelihood_z","DOSPERT_Financial_Likelihood_z","DOSPERT_HS_Likelihood_z","DOSPERT_Recreation_Likelihood_z","DOSPERT_Social_Likelihood_z","DOSPERT_Ethical_Perception_z","DOSPERT_Financial_Perception_z","DOSPERT_HS_Perception_z","DOSPERT_Recreation_Perception_z","DOSPERT_Social_Perception_z","DOSPERT_Ethical_Benefit_z","DOSPERT_Financial_Benefit_z","DOSPERT_Recreation_Benefit_z","DOSPERT_Social_Benefit_z","DOSPERT_Ethical_Preference_z","DOSPERT_Financial_Preference_z","DOSPERT_Social_Preference_z","DOSPERT_HS_Preference_z","DOSPERT_Recreation_Preference_z","DOSPERT_General_Preference_z","DOSPERT_General_Expected_Benefits_z","DOSPERT_General_Perceived_Risk_z"
"126",130,4985274,21,1,1,3,4,-2.04086537941808,-0.198419742955256,0.36974161869029,0.22766313692292,0.773005808515005,0.596196467788549,-0.473319341714011,0.590508362731711,1.20361370213482,0.487265653719318,-2.41487564094575,-0.459576902698186,-2.77450949071115,-0.872483970513981,-1.85122087425146,-0.682642152884827,-0.146591211422037,0.368784320959835,0.244318843208286,-0.615919655882874,-0.499683577649988,0.177081843385356,0.235710431452041,1.56018037493424,-0.0779004097352704,0.205074768898567,1.60067561390536,-0.219244761378649,0.0401824318129455,0.384187684600525,0.369741618690294,0.19841974295525
"127",131,5049753,28,2,1,3,3,0.0781148724463536,0.193797652437163,0.48656423651052,1.17732537942443,-1.44766043157163,-0.237075771897094,-1.72686190403685,-1.28857360581813,-1.87307931160626,0.722197308191132,-0.221548223939977,0.220627449966405,1.167035830622,-0.428391872411749,-0.264460124893066,0.736570882962728,0.0732956057110181,-0.0557464671218357,0.646328241728291,-0.615919655882874,0.249841788824994,0.177081843385356,0.235710431452041,0.446836858943204,-0.144487018762282,0.125869922761511,0.596775712629539,0.83381976847371,-0.162565170120649,0.326085353972416,0.486564236510524,-0.193797652437169
"128",132,5106944,20,2,1,3,3,1.05610575792225,-0.884800184891988,1.24591125234202,1.93705517342563,0.773005808515005,1.5336277374349,1.67561076512514,0.381721477337285,-0.142439491376902,0.534251984613681,1.09444822626348,0.674097018409466,0.427996082872034,1.5700225690483,0.528920249786132,-0.682642152884827,-0.806251662821203,-0.0557464671218357,-0.96170935235173,-1.23883045428428,1.74889252177496,1.8429332117028,0.235710431452041,1.78284907813245,1.6983293379329,1.87514418420639,1.9975197885495,-0.504678857265706,0.64842523761373,1.3798894837984,1.24591125234202,0.884800184891983
"129",133,5107141,36,2,1,3,6,1.00177293095136,-1.12993605701225,0.311330309780175,1.55719027642503,-0.422737551531643,0.596196467788549,-0.473319341714011,-0.244639178845995,-0.33473280473572,-0.123556647907399,1.31378096796406,0.674097018409466,1.41338241320532,-0.428391872411749,1.12395553079553,-1.29087631110521,-0.146591211422037,-1.32933883136685,-0.559699953831724,-1.44646738708475,0,1.12899691099532,-0.519749980144249,0.446836858943204,0.599101536932938,1.02362041283951,0.858194638481501,0.646766793682247,-0.0780287427097068,0.703401541585259,0.311330309780179,1.12993605701224
"130",134,5128532,24,2,1,3,3,0.675775969126067,-1.22799040586035,0.311330309780175,-0.152201760077683,0.602185328508341,0.283719377906433,0.95930072951209,0.172934591942858,0.242147135340734,1.05110162445167,-0.00221548223939983,-0.00610733425512557,0.427996082872034,0.681838372843831,1.52064571813513,-1.29087631110521,-1.02613847995426,-1.11707343732601,-1.16271405161173,-0.615919655882874,0,-1.0128119911271,0.235710431452041,1.56018037493424,0.599101536932938,-0.501287901479387,1.60067561390536,0.789483841625776,0.749799038580527,0.742089900474683,0.311330309780179,1.22799040586035
"131",135,5135046,21,2,1,3,4,-0.736877532116891,0.0957433035890583,2.18049219490386,-0.532066657078285,-0.0810965915183151,-0.341234801857799,0.601145711705565,-0.244639178845995,0.0498538219819158,-0.0295839861186731,-0.879546449041707,-1.59325082380584,-0.0646970822946099,-0.872483970513981,0.330575156116332,0.533826163555935,0.513069239977128,0.368784320959835,0.244318843208286,-1.23883045428428,1.74889252177496,0.891018144092831,2.50209166624091,2.00551778133065,1.13376088800455,0.581369463443106,2.19829976880467,1.56542007294057,1.61130156698247,1.76621473434086,2.18049219490386,-0.0957433035890641
"132",136,5161278,26,2,4,7,3,1.76243250854373,-0.247446917379308,0.36974161869029,-1.10186400257919,-0.251917071524979,-0.75787092170062,1.49653325622188,0.381721477337285,1.58820032885246,1.38000594071221,1.31378096796406,1.35430137107406,1.167035830622,2.23616071620164,1.12395553079553,-0.27715271407124,-0.366478028555092,-0.692542649244342,-0.760704653091727,1.04517580652088,0.249841788824994,0.177081843385356,-0.0161097057467223,0.446836858943204,0.325986689511338,0.284279615035623,0.073937860925614,0.85183483322293,0.372482643850318,0.403531864045237,0.369741618690294,0.247446917379302
"133",137,5163328,37,2,4,7,4,3.06642035584492,-0.198419742955256,1.1874999434319,0.22766313692292,-0.251917071524979,-0.028757711975683,-0.115164323907485,0.381721477337285,0.0498538219819158,1.42699227160657,2.62977741816752,2.26124050796018,2.89146190870525,3.34639096145722,1.52064571813513,0.331081444149141,-1.02613847995426,-0.0557464671218357,0.646328241728291,-0.823556588683343,0.999367155299976,1.8429332117028,1.74663125464462,0.00149945254678932,0.635779047103221,1.95434903034344,0.260570483582199,0.387653559893905,0.884847586659034,1.06074541910764,1.1874999434319,0.19841974295525
"134",138,5171695,27,2,1,3,5,-1.17154014788396,-0.149392568531203,-2.14194466444466,0.797460482423823,-0.593558031538307,0.0754013179850223,-0.115164323907485,-0.244639178845995,0.242147135340734,0.0174023447756898,-0.66021370734113,-0.459576902698186,-0.311043664877932,-1.53862211766733,-1.65287578058166,0.128336724742348,-0.146591211422037,-0.268011861162671,0.445323542468288,-0.823556588683343,-1.24920894412497,-1.25079075802959,-1.77885066613807,-2.22518757943528,-1.04635595891022,-1.02274369701285,-1.74722931896945,-1.98589453094865,-1.45774171152676,-1.71315525083031,-2.14194466444465,0.149392568531197
"135",139,5180565,23,1,1,3,4,1.11043858489313,-1.1789632314363,0.72020947215098,-2.05152624508069,-1.61848091157829,-2.11193831118979,0.24299069389904,-0.870999835029275,0.0498538219819158,0.910142631768583,0.655782742862331,1.12756658685253,1.65972899578864,0.903884421894947,0.330575156116332,-1.08813159169841,-1.02613847995426,-0.692542649244342,-1.36371875087173,-0.823556588683343,1.49905073294996,0.891018144092831,-0.0161097057467223,-0.666506657047832,1.68915996039033,1.1358033864025,-0.341769457183297,1.52108414609264,0.67660404675071,1.06102458828353,0.720209472150984,1.1789632314363
