"","X.2","X.1","X","id","Age","Gender","Ethnicity","Ethnic_Origin","Education","ethicalQuestionsRiskSum","financialQuestionsRiskSum","healthAndSafetyQuestionsRiskSum","recreationalQuestionsRiskSum","socialQuestionsRiskSum","ethicalQuestionsBenefitSum","financialQuestionsBenefitSum","healthAndSafetyQuestionsBenefitSum","recreationalQuestionsBenefitSum","socialQuestionsBenefitSum","ethicalQuestionsPerceptionSum","financialQuestionsPerceptionSum","healthAndSafetyQuestionsPerceptionSum","recreationalQuestionsPerceptionSum","socialQuestionsPerceptionSum","dominance_Sum","leadership_Sum","prestige_Sum","PNI_Sum","grandiosity_Sum","vulnerability_Sum","cse_Sum","devaluing_Sum","entitlement_rage_Sum","hts_Sum","exploitativeness_Sum","grandiose_fantasy_Sum","ssse_Sum","ethicalPreference","financialPreference","socialPreference","healthAndSafetyPreference","recreationalPreference","ethicalPreference_z","socialPreference_z","recreationalPreference_z","healthAndSafetyPreference_z","financialPreference_z","riskPerceptionSum_z","riskSum_z","generalRiskPreference","generalExpectedBenefits","generalPerceievedRisk","riskBenefitSum","riskSum","riskPerceptionSum","generalRiskPreference_z","generalExpectedBenefits_z","generalPerceievedRisk_z","UMSSum","UMSIntimacySum","UMSAffiliationSum","UMSSum_z","UMSAffiliationSum_z","UMSIntimacySum_z","PNI_Sum_z","grandiosity_Sum_z","vulnerability_Sum_z","cse_Sum_z","devaluing_Sum_z","entitlement_rage_Sum_z","hts_Sum_z","exploitativeness_Sum_z","grandiose_fantasy_Sum_z","ssse_Sum_z","dominance_Sum_pre","prestige_Sum_pre","leadership_Sum_pre"
"11",11,11,1871,2466293,36,1,4,7,4,-0.167943969412719,-0.673774606534195,-0.129937025944899,-0.388939426247108,-0.0344649260227169,-0.167943969412719,-0.673774606534195,-0.129937025944899,-0.388939426247108,-0.0344649260227169,-0.167943969412719,-0.673774606534195,-0.129937025944899,-0.388939426247108,-0.0344649260227169,-0.64895598619235,0.0427535544535949,0.166738232045634,100,51,49,6,9,14,20,12,23,16,24,38,38,26,28,-0.167943969412719,-0.0344649260227169,-0.388939426247108,-0.129937025944899,-0.673774606534195,0.337872115847395,0.402591221939112,12.1844253722002,40.7084438378211,-28.5240184656209,77,105,137,-0.502126236854308,-0.446320192266542,-0.337872115847393,61,45,16,1.26705074977023,1.10782178642982,1.1724952223875,0.112486336182168,0.565945134930285,-0.197719570585143,-0.908800020859929,-0.747853069726953,0.360453826721058,0.390106106127113,-0.394021039290664,1.39865169400696,0.102078117533644,13,25,22
"12",12,12,2058,5392579,23,2,1,3,3,0.44129210372882,1.73018664393966,-0.576982269969612,0.0190587377652848,-1.76670207742535,0.44129210372882,1.73018664393966,-0.576982269969612,0.0190587377652848,-1.76670207742535,0.44129210372882,1.73018664393966,-0.576982269969612,0.0190587377652848,-1.76670207742535,1.29913757386948,-0.527513087258205,0.166738232045634,107,49,58,11,13,18,16,15,17,17,30,68,22,22,32,0.44129210372882,-1.76670207742535,0.0190587377652848,-0.576982269969612,1.73018664393966,-0.700904921172787,0.456833116177062,21.8435310615284,45.9952547258498,-24.1517236643213,87,106,116,0.382692633918035,0.134962077066635,0.700904921172789,39,29,10,-1.17487367188455,-1.18998081843778,-1.02873007534689,0.439910592436161,0.354082254107937,0.408014944246374,0.445030938049965,0.150814444414791,1.22854679274094,-0.357758999483074,0.343811014845417,0.114764961657532,0.352082998611807,24,25,19
"13",13,13,2245,5352700,25,1,1,2,4,0.44129210372882,0.768602143750118,0.317108218079814,0.0190587377652848,-0.467524213873374,0.44129210372882,0.768602143750118,0.317108218079814,0.0190587377652848,-0.467524213873374,0.44129210372882,0.768602143750118,0.317108218079814,0.0190587377652848,-0.467524213873374,-0.294757157090199,0.613020196165394,-0.250468253332619,103,48,55,6,18,13,18,15,17,16,30,56,34,30,32,0.44129210372882,-0.467524213873374,0.0190587377652848,0.317108218079814,0.768602143750118,0.0905442498902088,-1.4416331821512,20.6269831871784,48.1099790810613,-27.4829958938829,91,71,132,0.271251207450137,0.367474984799905,-0.0905442498902069,56,41,15,0.712067926666869,0.724854685618557,0.622188897953903,0.252811017433879,0.248150813696764,0.206103439302535,-0.908800020859929,1.27414883709197,0.143430585216088,0.0161735533220193,0.343811014845417,0.114764961657532,0.102078117533644,15,23,25
"14",14,14,2432,2777889,31,1,4,7,4,1.05052817687036,-0.834038689899118,3.22290230424045,0.0190587377652848,1.04818329360393,1.05052817687036,-0.834038689899118,3.22290230424045,0.0190587377652848,1.04818329360393,1.05052817687036,-0.834038689899118,3.22290230424045,0.0190587377652848,1.04818329360393,-0.471856571641274,-0.527513087258205,0.166738232045634,119,56,63,7,20,11,25,16,18,22,36,36,48,56,32,1.05052817687036,1.04818329360393,0.0190587377652848,3.22290230424045,-0.834038689899118,0.535734408613144,0.673800693128863,25.6259967124873,54.9828332354986,-29.3568365230113,104,110,141,0.72918402697881,1.12314193493304,-0.535734408613142,41,28,13,-0.952880542643205,-0.0410795160039764,-1.16630665645529,1.00120931744301,1.09560233698615,0.744534119152772,-0.63803382907795,1.72348259416284,-0.290615897793853,1.32493748813985,0.589755032890778,0.328746083715771,1.60210740400262,14,25,19
"15",15,15,2619,7037931,22,3,4,7,4,0.644370794775999,-0.994302773264042,0.54063084009217,0.83505506579007,1.69777222537991,0.644370794775999,-0.994302773264042,0.54063084009217,0.83505506579007,1.69777222537991,0.644370794775999,-0.994302773264042,0.54063084009217,0.83505506579007,1.69777222537991,0.413640501114104,-1.4779574901112,-1.08488122408913,96,41,55,9,9,9,28,10,24,7,32,34,54,32,40,0.644370794775999,1.69777222537991,0.83505506579007,0.54063084009217,-0.994302773264042,-0.601973774789913,1.37894531822222,26.1852518320591,50.7533845250756,-24.5681326930165,96,123,118,0.780414389218232,0.658116119466494,0.601973774789914,36,22,14,-1.50786336574656,0.34188758480729,-1.99176614310569,-0.0746132388201143,-0.493369269181453,0.206103439302535,-0.0965014455139923,-0.747853069726953,-0.724662380803793,1.88583631734749,-0.885909075381385,1.6126328160652,-2.14796581216982,19,19,14
"16",16,16,2806,9501166,19,2,1,3,3,-0.167943969412719,-0.0327182730745002,0.764153462104526,1.24305322980246,-0.467524213873374,-0.167943969412719,-0.0327182730745002,0.764153462104526,1.24305322980246,-0.467524213873374,-0.167943969412719,-0.0327182730745002,0.764153462104526,1.24305322980246,-0.467524213873374,-0.471856571641274,-0.717601967828805,0.166738232045634,94,47,47,12,6,12,17,8,21,18,24,46,34,34,44,-0.167943969412719,-0.467524213873374,1.24305322980246,0.764153462104526,-0.0327182730745002,-1.54181966542722,0.511075010415012,27.4977321606491,48.1099790810613,-20.6122469204122,91,107,99,0.900643673336841,0.367474984799905,1.54181966542722,54,41,13,0.490074797425526,-0.0410795160039764,0.622188897953903,-0.168163026321255,0.14221937328559,-0.332327240547702,0.715797129831944,-1.42185370533326,-0.0735926562888825,-0.170792723080527,-1.37779711147211,0.970689449890485,0.60208787968997,14,25,18
"17",17,17,2993,6719600,55,2,1,3,4,0.44129210372882,-0.192982356439424,-0.800504891981969,-1.40893483627809,-1.98323172135067,0.44129210372882,-0.192982356439424,-0.800504891981969,-1.40893483627809,-1.98323172135067,0.44129210372882,-0.192982356439424,-0.800504891981969,-1.40893483627809,-1.98323172135067,0.0594416720119528,-0.147335326117005,-0.250468253332619,86,42,44,10,11,10,13,14,14,14,30,44,20,20,18,0.44129210372882,-1.98323172135067,-1.40893483627809,-0.800504891981969,-0.192982356439424,-0.898767213938536,-0.844972345533745,11.5740462540585,34.8929518609895,-23.318905606931,66,82,112,-0.5580397944266,-1.08573068853304,0.898767213938538,50,38,12,0.0460885389428395,-0.424046616815243,0.209459154628705,-0.542362176325819,-0.387437828770279,-0.534238745491541,0.174264746267987,-0.298519312656081,-0.507639139298823,-0.918657828690715,0.0978669968000567,-0.527178404517182,-0.397931644622681,17,23,21
"18",18,18,3180,2837429,25,2,1,3,4,0.847449485823179,-0.0327182730745002,0.987676084116883,0.223057819771481,0.831653649678597,0.847449485823179,-0.0327182730745002,0.987676084116883,0.223057819771481,0.831653649678597,0.847449485823179,-0.0327182730745002,0.987676084116883,0.223057819771481,0.831653649678597,0.59073991566518,0.0427535544535949,0.792547960113014,98,42,56,12,13,13,18,11,15,16,34,46,46,36,34,0.847449485823179,0.831653649678597,0.223057819771481,0.987676084116883,-0.0327182730745002,-0.453577055215601,0.511075010415012,26.618000466622,51.8107467026814,-25.1927462360593,98,107,121,0.820056170815601,0.774372573333129,0.453577055215603,50,38,12,0.0460885389428395,-0.424046616815243,0.209459154628705,0.0189365486810267,-0.387437828770279,0.273407274283814,0.715797129831944,0.150814444414791,0.143430585216088,0.0161735533220193,-0.639965057336025,-0.313197282458944,0.102078117533644,20,28,22
"19",19,19,3367,3812826,21,2,1,3,1,0.847449485823179,-0.353246439804347,0.54063084009217,0.427056901777677,-0.250994569948045,0.847449485823179,-0.353246439804347,0.54063084009217,0.427056901777677,-0.250994569948045,0.847449485823179,-0.353246439804347,0.54063084009217,0.427056901777677,-0.250994569948045,0.767839330216256,-0.717601967828805,1.20975444549127,103,52,51,14,12,11,14,13,22,17,34,42,36,32,36,0.847449485823179,-0.250994569948045,0.427056901777677,0.54063084009217,-0.353246439804347,-0.799836067555662,0.511075010415012,23.8459833566323,47.5812979922584,-23.7353146356261,90,107,114,0.566126549594804,0.309346757866588,0.799836067555664,58,43,15,0.934061055908212,0.724854685618557,0.897342060170702,0.252811017433879,0.671876575341459,-0.0631119006225839,1.2573295133959,-0.0738524341206452,-0.290615897793853,-0.731691552288168,-0.148077021245304,1.18467057194872,0.352082998611807,21,30,18
"20",20,20,3554,1715435,23,1,4,7,4,-1.18333742464862,-0.673774606534195,-1.02402751399432,-0.592938508253304,-1.33364278957469,-1.18333742464862,-0.673774606534195,-1.02402751399432,-0.592938508253304,-1.33364278957469,-1.18333742464862,-0.673774606534195,-1.02402751399432,-0.592938508253304,-1.33364278957469,-0.64895598619235,0.613020196165394,-0.876277981399999,107,51,56,7,18,12,19,14,22,15,14,38,26,18,26,-1.18333742464862,-1.33364278957469,-0.592938508253304,-1.02402751399432,-0.673774606534195,1.37664915286758,-0.844972345533745,-0.646766849945315,32.2495464169751,-32.8963132669205,61,82,158,-1.67752294311513,-1.37637182319963,-1.37664915286758,48,35,13,-0.175904590298504,-0.0410795160039764,-0.203270588696494,0.439910592436161,0.565945134930285,0.273407274283814,-0.63803382907795,1.27414883709197,-0.0735926562888825,0.203139829724566,0.0978669968000567,1.18467057194872,-0.147926763544518,13,20,25
